순위,책이름,저자및출판사,가격
1,트렌드 코리아 2026,"김난도 , 전미영 , 최지혜 , 권정윤 , 한다혜 저 외 7명 정보 더 보기/감추기 김난도 전미영 최지혜 권정윤 한다혜 이혜원 이수진 서유현 전다현 이준영 이향은 김나은","18,000"
2,처음 만나는 양자의 세계,채은미 저,"17,100"
3,대형주 추세추종 투자법칙,이종호(전황) 저,"19,800"
4,위버멘쉬,프리드리히 니체 저,"16,020"
5,박곰희 연금 부자 수업,박곰희 저,"18,900"
6,주식 투자의 뿌리,박두환 저,"19,800"
7,절창 切創,구병모 저,"16,200"
8,다크 심리학,다크 사이드 프로젝트 저,"19,710"
9,단 한 줄만 내 마음에 새긴다고 해도,나민애 저,"21,420"
10,어른의 행복은 조용하다,태수 저,"16,020"
11,머니 트렌드 2026,"김도윤 , 정태익 , 김광석 , 김승주 , 김용섭 저 외 3명 정보 더 보기/감추기 김도윤 정태익 김광석 김승주 김용섭 김학렬 김현준 최재붕","23,400"
12,어스탐 경의 임사전언,이영도 저,"18,000"
13,호의에 대하여,문형배 저,"16,920"
14,렛뎀 이론,멜 로빈스 저/ 윤효원 역,"18,000"
15,기분이 태도가 되지 않게 (헬로키티 에디션),레몬심리 저/ 박영란 역,"16,200"
16,혼모노,성해나 저,"16,200"
17,미야옹 마음 분식점 1 : 좀비 개가 나타나는 골목,주미 글/ 안병현 그림,"13,320"
18,손자병법,손자 저/ 소준섭 역,"11,700"
19,결국 너의 시간은 온다,염경엽 저,"17,100"
20,스토너,존 윌리엄스 저/ 김승욱 역,"15,120"
21,모순,양귀자 저,"11,700"
22,ETF 투자의 모든 것,문일호 저,"18,900"
23,사이언스 2026,"내셔널지오그래픽 키즈 글/ 이한음 , 김아림 역","25,200"
24,그 비스크 돌은 사랑을 한다 15 한정판,후쿠다 신이치 글그림/ 박연지 역,"25,200"
25,부자 아빠 투자 불변의 법칙,타짱 저/ 박선영 역,"18,000"
26,진돗개 두 마리와 네덜란드에서 살고 있습니다,박혜령 저,"16,200"
27,류수영의 평생 레시피,류수영 저,"22,500"
28,달러 자산 1억으로 평생 월급 완성하라 (2026 투자 전략 특별판),채부심(채상욱) 저,"18,900"
29,그 비스크 돌은 사랑을 한다 15,후쿠다 신이치 글그림/ 박연지 역,"5,400"
30,사탄탱고,크러스너호르커이 라슬로 저/ 조원규 역,"17,820"
31,플스포의 메타인지 투자법,플스포(김동호) 저,"19,800"
32,초역 부처의 말,코이케 류노스케 저/ 박재현 역,"16,020"
33,밤과 나침반,하와이 대저택 저,"17,820"
34,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS 저,"17,820"
35,하루 한 장 나의 어휘력을 위한 필사 노트,유선경 저,"21,420"
36,영어책 한 권 외워봤니?,김민식 저,"18,000"
37,언폴드 (UNFOLD),김경주 글그림,"18,900"
38,돈의 심리학 (30만 부 기념 스페셜 에디션),모건 하우절 저/ 이지연 역,"17,820"
39,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS 저,"17,820"
40,어른의 품격을 채우는 100일 필사 노트,김종원 저,"18,000"
41,소년이 온다,한강 저,"13,500"
42,AI 2026 트렌드&활용백과,김덕진 저,"22,500"
43,편안함의 습격,마이클 이스터 저/ 김원진 역,"19,800"
44,흔한남매 20,흔한남매 원저/ 백난도 글/ 유난희 그림/ 흔한컴퍼니 감수,"15,120"
45,체인소 맨 21,후지모토 타츠키 글그림,"5,400"
46,원피스 ONE PIECE 112,오다 에이이치로 글그림,"5,400"
47,서경석의 한국사 한 권,서경석 저/ 염명훈 감수,"16,920"
48,너를 미워할 시간에 나를 사랑하기로 했다,윤서진 저,"16,920"
49,시대예보: 경량문명의 탄생,송길영 저,"19,800"
50,샤이,맥스 포터 저/ 민승남 역,"15,120"
51,우리는 언제나 다시 만나,윤여림 글/ 안녕달 그림,"10,800"
52,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성 저,"14,850"
53,포즈랑의 투자 이야기,포즈랑 저,"19,800"
54,미술관 여행자를 위한 도슨트 북,카미유 주노 저/ 이세진 역,"29,700"
55,너를 아끼며 살아라,나태주 저,"16,650"
56,다정한 사람이 이긴다,이해인 저,"17,100"
57,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성 저,"14,400"
58,모두의 수영장,신현경 글/ 노예지 그림,"15,120"
59,산만한 아이를 위한 본질육아,지나영 저,"19,800"
