순위,책이름,저자및출판사,가격
1,트렌드 코리아 2026,"김난도 , 전미영 , 최지혜 , 권정윤 , 한다혜 저 외 7명 정보 더 보기/감추기 김난도 전미영 최지혜 권정윤 한다혜 이혜원 이수진 서유현 전다현 이준영 이향은 김나은","18,000"
2,처음 만나는 양자의 세계,채은미 저,"17,100"
3,대형주 추세추종 투자법칙,이종호(전황) 저,"19,800"
4,위버멘쉬,프리드리히 니체 저,"16,020"
5,박곰희 연금 부자 수업,박곰희 저,"18,900"
6,주식 투자의 뿌리,박두환 저,"19,800"
7,절창 切創,구병모 저,"16,200"
8,다크 심리학,다크 사이드 프로젝트 저,"19,710"
9,단 한 줄만 내 마음에 새긴다고 해도,나민애 저,"21,420"
10,어른의 행복은 조용하다,태수 저,"16,020"
11,머니 트렌드 2026,"김도윤 , 정태익 , 김광석 , 김승주 , 김용섭 저 외 3명 정보 더 보기/감추기 김도윤 정태익 김광석 김승주 김용섭 김학렬 김현준 최재붕","23,400"
12,어스탐 경의 임사전언,이영도 저,"18,000"
13,호의에 대하여,문형배 저,"16,920"
14,렛뎀 이론,멜 로빈스 저/ 윤효원 역,"18,000"
15,기분이 태도가 되지 않게 (헬로키티 에디션),레몬심리 저/ 박영란 역,"16,200"
16,혼모노,성해나 저,"16,200"
17,미야옹 마음 분식점 1 : 좀비 개가 나타나는 골목,주미 글/ 안병현 그림,"13,320"
18,손자병법,손자 저/ 소준섭 역,"11,700"
19,결국 너의 시간은 온다,염경엽 저,"17,100"
20,스토너,존 윌리엄스 저/ 김승욱 역,"15,120"
21,모순,양귀자 저,"11,700"
22,ETF 투자의 모든 것,문일호 저,"18,900"
23,사이언스 2026,"내셔널지오그래픽 키즈 글/ 이한음 , 김아림 역","25,200"
24,그 비스크 돌은 사랑을 한다 15 한정판,후쿠다 신이치 글그림/ 박연지 역,"25,200"
